TimeID,DATE,TIME,原子力,火力,水力,バイオマス,太陽光発電実績,合計,Temp,Rain,PM2.5
2023-4-1-0,2023/4/1,0:00,0,1926,145,29,0,2338,12.1,0,#N/A
2023-4-1-1,2023/4/1,1:00,0,1900,146,29,0,2246,12,0,9
2023-4-1-2,2023/4/1,2:00,0,1897,146,29,0,2241,11.4,0,8
2023-4-1-3,2023/4/1,3:00,0,1929,154,29,0,2264,10.9,0,8
2023-4-1-4,2023/4/1,4:00,0,1902,147,29,0,2280,12.1,0,7
2023-4-1-5,2023/4/1,5:00,0,1827,149,29,2,2280,11.1,0,8
2023-4-1-6,2023/4/1,6:00,0,1560,149,29,137,2255,11.1,0,6
2023-4-1-7,2023/4/1,7:00,0,1356,138,29,500,2298,13,0,8
2023-4-1-8,2023/4/1,8:00,0,1227,144,29,919,2460,15,0,9
2023-4-1-9,2023/4/1,9:00,0,1148,144,28,1241,2603,16.9,0,9
2023-4-1-10,2023/4/1,10:00,0,1143,152,28,1454,2689,18.8,0,7
2023-4-1-11,2023/4/1,11:00,0,1163,147,28,1547,2735,19.5,0,6
2023-4-1-12,2023/4/1,12:00,0,1138,142,28,1522,2700,20.9,0,6
2023-4-1-13,2023/4/1,13:00,0,1125,137,28,1376,2654,21.3,0,6
2023-4-1-14,2023/4/1,14:00,0,1137,134,28,1114,2598,20.7,0,5
2023-4-1-15,2023/4/1,15:00,0,1270,139,28,758,2560,21.2,0,4
2023-4-1-16,2023/4/1,16:00,0,1574,158,28,356,2553,20,0,3
2023-4-1-17,2023/4/1,17:00,0,1923,173,28,66,2600,18.2,0,3
2023-4-1-18,2023/4/1,18:00,0,1988,183,28,0,2732,17,0,3
2023-4-1-19,2023/4/1,19:00,0,1994,183,28,0,2716,16.8,0,3
2023-4-1-20,2023/4/1,20:00,0,1998,164,28,0,2645,16.4,0,4
2023-4-1-21,2023/4/1,21:00,0,1898,151,28,0,2527,15.3,0,3
2023-4-1-22,2023/4/1,22:00,0,1896,139,28,0,2412,15.1,0,3
2023-4-1-23,2023/4/1,23:00,0,1837,135,28,0,2320,14.9,0,2
2023-4-2-0,2023/4/2,0:00,0,1726,143,28,0,2175,14.9,0,#N/A
2023-4-2-1,2023/4/2,1:00,0,1684,144,28,0,2100,13.1,0,1
2023-4-2-2,2023/4/2,2:00,0,1685,156,28,0,2099,11.2,0,1
