施設名_データ,施設名,運営会社,ObjectId
幡ヶ谷南第二自転車駐車場,幡ヶ谷南第二,NCD,1
あおい通り自転車等駐車場Ａ,あおい通り,NCD ,2
あおい通り自転車等駐車場Ｂ,あおい通り,NCD ,3
あおい通り自転車等駐車場Ｃ,あおい通り,NCD ,4
あおい通り自転車等駐車場Ｄ,あおい通り,NCD ,5
宇田川自転車駐車場（渋谷）,宇田川,NCD,6
金王坂上,金王坂上,NCD,7
金王坂中央第１,金王坂中央第一,NCD,8
金王坂中央第２,金王坂中央第二,NCD,9
甲州街道代々木第一自転車駐車場,甲州街道代々木第一,NCD ,10
甲州街道代々木第二自転車駐車場Ａ,甲州街道代々木第二,NCD ,11
甲州街道代々木第二自転車駐車場Ｂ,甲州街道代々木第二,NCD ,12
桜丘自転車等駐車場,桜丘,NCD,13
参宮橋高架下バイク駐車場,参宮橋高架下,NCD ,14
参宮橋高架下自転車駐車場,参宮橋高架下,NCD ,15
渋谷駅ハチ公口自転車駐車場,渋谷駅ハチ公口,NCD,16
渋谷駅新南口自転車駐車場,渋谷駅新南口,NCD,17
渋谷道玄坂自転車駐車場　Ａエリア,渋谷道玄坂,NCD,18
渋谷道玄坂自転車駐車場　ＢＣＤエリア,渋谷道玄坂,NCD,19
千駄ヶ谷駅バイク,千駄ヶ谷駅,NCD,20
千駄ヶ谷駅前第二自転車駐車場,千駄ヶ谷駅第二,NCD,21
千駄ヶ谷駅第１自転車駐車場,千駄ヶ谷駅第一,NCD,22
代々木駅西口自転車駐車場,代々木駅西口,NCD ,23
代々木駅東口自転車・原付専用駐車場,代々木駅東口,NCD ,24
代々木駅北口第一自転車駐車場,代々木駅北口第一,NCD ,25
代々木駅北口第二自転車駐車場,代々木駅北口第二,NCD ,26
代々木上原駅自転車等駐車場,代々木上原駅 ,NCD ,27
代々木上原駅第二自転車駐車場,代々木上原駅第二,NCD ,28
代々木二丁目自動二輪車等駐車場,代々木二丁目,NCD,29
代々木八幡駅八幡橋高架下自転車駐車場,代々木八幡駅八幡橋高架下,NCD ,30
代々木八幡駅北バイク駐車場,代々木八幡駅北 ,NCD ,31
代々木八幡駅北自転車駐車場,代々木八幡駅北 ,NCD ,32
幡ヶ谷高架下第一自転車等駐車場,幡ヶ谷駅高架下第一,NCD,33
幡ヶ谷南第一自転車・原付専用駐車場,幡ヶ谷南第一,NCD,34
恵比寿,サイカパーク恵比寿,サイカ,35
笹塚,サイカパーク笹塚,サイカ,36
初台,サイカパーク初台,サイカ,37
笹塚東集積所,笹塚東自転車集積所,集積所,38
恵比寿集積所,恵比寿自転車集積所,集積所,39
西原集積所,西原自転車集積所,集積所,40
西原,西原自転車集積所,集積所,41
西原集積所,西原自転車集積所,集積所,42
西参道集積所,西原自転車集積所,集積所,43
上原集積所,西原自転車集積所,集積所,44
