測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13113010,2023/1/1,1,,0,0.007,0.007,,0.034,,,,0.009,3,,W,1.8,6.6,44.9
13113010,2023/1/1,2,,0,0.004,0.004,,0.037,,,,0.003,2,,W,2.5,6.8,36.1
13113010,2023/1/1,3,,0,0.002,0.002,,0.04,,,,0.006,4,,W,2.6,6.4,33.3
13113010,2023/1/1,4,,0,0.002,0.002,,0.039,,,,0.007,5,,W,0.9,6,34.7
13113010,2023/1/1,5,,0,0.004,0.004,,0.037,,,,0.006,4,,SSE,0.6,5.7,34.8
13113010,2023/1/1,6,,0,0.004,0.004,,0.038,,,,0.005,5,,WNW,0.6,5.9,33.2
13113010,2023/1/1,7,,0,0.003,0.003,,0.039,,,,0.006,6,,W,2.4,6.1,31.4
13113010,2023/1/1,8,,0,0.003,0.003,,0.04,,,,0.01,5,,WSW,1,6.6,31.5
13113010,2023/1/1,9,,0.001,0.004,0.005,,0.04,,,,0.008,6,,SSE,1.2,7.9,28.2
13113010,2023/1/1,10,,0.003,0.008,0.011,,0.039,,,,0.009,6,,SE,1.1,9.1,26
13113010,2023/1/1,11,,0.004,0.008,0.012,,0.039,,,,0.008,7,,SW,1.5,9.9,23.9
13113010,2023/1/1,12,,0.004,0.009,0.013,,0.04,,,,0.007,6,,SE,1.2,11.1,22.8
13113010,2023/1/1,13,,0.004,0.009,0.013,,0.04,,,,0.006,7,,WSW,2,11.7,22
13113010,2023/1/1,14,,0.004,0.009,0.013,,0.039,,,,0.008,6,,SSE,1.1,11.9,23.3
13113010,2023/1/1,15,,0.006,0.015,0.021,,0.037,,,,0.012,7,,S,0.9,10.9,27.3
13113010,2023/1/1,16,,0.003,0.012,0.015,,0.037,,,,0.007,4,,S,0.9,10.1,28.9
13113010,2023/1/1,17,,0.003,0.017,0.02,,0.033,,,,0.006,2,,CALM,0.1,9.7,27.7
13113010,2023/1/1,18,,0.003,0.019,0.022,,0.03,,,,0.006,6,,SSE,0.5,9.4,29
